YESBANK,BUY,17.5,10000,22.8,2024-05-29 11:03:16.676014,487,2,MEDIUM
TATASTEEL,BUY,125,1000,160,2024-06-05 21:16:57.414164,491,1,HIGH
BEL,BUY,150,2000,257.45,2024-06-05 21:19:35.752041,492,1,HIGH
ONGC,BUY,140,2000,238,2024-06-05 21:31:21.361864,493,5,HIGH
ICIL,BUY,150,2000,381.8,2024-05-29 11:50:27.621375,489,2,HIGH
PVRINOX,BUY,1250,1200,1339.95,2024-05-29 11:55:43.830789,490,10,HIGH
PTC,BUY,100,2500,182.45,2024-06-05 21:37:47.124094,494,10,HIGH
KAJARIACER,BUY,900,250,1152.1,2024-06-05 21:41:04.811552,496,1,MEDIUM
SAIL,BUY,75,2500,135,2024-06-05 21:45:06.353803,497,10,HIGH
MIDHANI,BUY,200,1200,384.55,2024-06-05 21:47:31.70809,499,10,HIGH
SUNTECK,BUY,260,1200,446.05,2024-05-20 16:39:10.625632,224,1,NA
JTLIND,BUY,125,1600,216.6,2024-05-20 16:42:53.184513,225,2,NA
ELECTCAST,BUY,50,5000,176.6,2024-05-20 17:56:24.267705,227,1,NA
USHAMART,BUY,150,2000,352.65,2024-05-20 20:41:19.108193,228,1,NA
RVNL,BUY,125,2400,299.05,2024-05-21 20:04:53.038509,229,10,NA
ASHOKA,BUY,95,2400,182.7,2024-05-21 20:11:24.110243,231,5,NA
WELENT,BUY,175,1500,381.6,2024-05-21 20:59:45.154361,232,10,NA
DBL,BUY,200,1200,437,2024-05-21 21:04:28.421552,234,10,NA
IDEAFORGE,BUY,540,250,672.5,2024-05-13 13:07:00.304581,38,10,NA
YATHARTH,BUY,365,750,434.45,2024-05-13 12:44:23.505173,31,10,HIGH
DELHIVERY,BUY,295,500,361.15,2024-06-05 22:07:17.964558,501,1,MEDIUM
VEDL,BUY,250,500,410,2024-05-12 20:50:06.270887,8,1,NA
COALINDIA,BUY,250,600,448.95,2024-05-12 20:55:24.769259,9,10,NA
HDFCLIFE,BUY,475,300,549.35,2024-05-12 20:59:14.150826,12,10,NA
HDFCBANK,BUY,1300,200,1439.85,2024-05-12 21:01:30.522526,13,1,NA
KOTAKBANK,BUY,1500,200,1623,2024-05-12 21:04:15.161217,14,5,NA
ASHOKLEY,BUY,125,1000,198.7,2024-05-12 21:06:19.52728,15,1,NA
BIOCON,BUY,205,750,303.8,2024-05-12 21:08:19.955516,16,5,NA
FORTIS,BUY,260,600,441.9,2024-05-12 21:10:55.993892,17,10,NA
BERGEPAINT,BUY,440,300,491,2024-05-12 21:12:59.747236,18,1,NA
SYNGENE,BUY,545,300,667.9,2024-05-12 21:16:11.953936,19,10,NA
GMRINFRA,BUY,45,3000,80,2024-05-12 21:19:59.888053,20,1,NA
NATIONALUM,BUY,90,1500,174.4,2024-05-13 00:05:10.081008,21,5,NA
IDFCFIRSTB,BUY,50,3000,76.75,2024-05-13 00:07:55.526762,22,10,NA
CIEINDIA,BUY,250,500,481.9,2024-05-13 00:20:55.960956,27,10,NA
SEQUENT,BUY,75,1500,117.25,2024-05-13 12:39:46.038772,29,2,NA
MARKSANS,BUY,80,1200,158.7,2024-05-13 12:42:30.185215,30,1,NA
RTNPOWER,BUY,4,25000,11.55,2024-05-13 12:48:34.395586,32,10,NA
DELTACORP,BUY,100,1000,117.45,2024-05-13 12:55:23.591827,34,1,NA
RAIN,BUY,120,1200,159.2,2024-05-13 13:00:16.672435,36,2,NA
EASEMYTRIP,BUY,28,4000,40.2,2024-06-05 23:07:55.978122,503,1,HIGH
GODREJCP,BUY,850,400,1347,2024-06-05 23:45:27.230916,504,1,MEDIUM
HINDUNILVR,BUY,1800,200,2492.15,2024-06-05 23:48:16.067032,506,1,HIGH
BANKINDIA,BUY,55,2000,117.4,2024-06-05 23:51:49.029463,508,10,HIGH
SBIN,BUY,475,500,784.6,2024-06-05 23:55:59.294451,509,1,HIGH
ALLCARGO,BUY,50,2000,64.09,2024-07-09 04:02:39.783322,255,2,LOW
DBREALTY,BUY,85,3000,209.95,2024-05-20 15:41:43.923846,219,10,NA
TARC,BUY,50,2000,158.2,2024-05-20 16:26:50.605121,221,2,NA
PURVA,BUY,150,2000,430,2024-05-20 16:31:00.757897,222,5,NA
ANANTRAJ,BUY,150,2000,385.7,2024-05-20 16:35:13.268618,223,2,NA
RAMKY,BUY,250,800,495.8,2024-05-21 21:11:19.065471,235,10,NA
ENGINERSIN,BUY,85,2400,271.9,2024-05-21 23:06:10.070531,236,5,NA
PATELENG,BUY,25,6000,62.3,2024-05-21 23:10:20.435477,237,1,NA
IRB,BUY,25,6000,69.45,2024-05-21 23:16:42.60353,238,1,NA
MANINFRA,BUY,70,3000,195.95,2024-05-21 23:19:37.51097,239,2,NA
KNRCON,BUY,140,2000,261.95,2024-05-21 23:24:17.309038,240,2,NA
IRCON,BUY,65,2400,289,2024-05-21 23:28:37.40821,241,2,NA
NCC,BUY,80,2500,287.1,2024-05-21 23:32:23.993629,242,2,NA
NBCC,BUY,42,5000,148.7,2024-05-21 23:36:58.355575,243,1,NA
PNCINFRA,BUY,210,1200,458.15,2024-05-21 23:40:15.570828,244,2,NA
ITDCEM,BUY,125,1200,393.2,2024-05-21 23:43:29.371464,245,1,NA
DEN,BUY,25,7500,50.65,2024-05-21 23:48:15.817382,246,10,NA
HATHWAY,BUY,12.5,15000,21.1,2024-05-21 23:51:25.030218,248,2,NA
TV18BRDCST,BUY,28,8000,42.85,2024-05-21 23:56:35.27781,249,2,NA
ZEEL,BUY,125,2500,147.5,2024-05-22 00:00:19.470484,250,1,NA
LATENTVIEW,BUY,325,600,482,2024-05-22 00:05:09.886073,251,1,NA
DCXINDIA,BUY,160,1250,332,2024-05-22 00:13:24.376578,253,2,NA
GATEWAY,BUY,62,3000,108.5,2024-05-22 00:18:01.482315,254,10,NA
DALMIASUG,BUY,200,1500,376.95,2024-05-24 12:04:12.260042,368,2,MEDIUM
ITC,BUY,225,1200,440,2024-05-23 13:02:40.600724,365,1,MEDIUM
MAHLOG,BUY,325,800,450.95,2024-05-22 00:25:23.14379,256,10,NA
TVSSCS,BUY,145,1200,173.75,2024-05-22 00:28:58.783447,257,1,NA
APOLLOTYRE,BUY,200,1500,482.6,2024-05-22 15:44:08.837337,294,1,NA
MSUMI,BUY,45,5000,68.5,2024-05-22 22:40:54.932586,298,1,NA
MOTHERSON,BUY,65,3600,133.7,2024-05-22 22:44:40.513047,299,1,NA
JAMNAAUTO,BUY,70,3000,132.15,2024-05-22 22:50:08.70144,300,1,NA
ASKAUTOLTD,BUY,245,1000,304.5,2024-05-22 22:55:19.143389,301,2,NA
NRBBEARING,BUY,125,2000,349.5,2024-05-22 22:58:34.91865,302,2,NA
JTEKTINDIA,BUY,75,2000,164.6,2024-05-22 23:01:20.394988,303,1,NA
MINDACORP,BUY,180,1200,427,2024-05-22 23:04:48.212617,304,2,NA
SSWL,BUY,125,1800,223,2024-05-22 23:08:38.235746,305,1,NA
GABRIEL,BUY,140,1600,378.4,2024-05-22 23:13:27.681426,306,1,NA
SUPRAJIT,BUY,250,1000,407.8,2024-05-22 23:22:45.942859,308,1,NA
PRICOLLTD,BUY,180,1000,461.5,2024-05-22 23:28:14.841069,309,1,NA
INDIGO,BUY,1800,150,4359,2024-05-22 23:45:58.332413,312,10,NA
THOMASCOOK,BUY,72,3500,216,2024-05-23 00:12:42.448425,315,1,NA
BLS,BUY,120,2000,322.5,2024-05-23 00:19:22.950703,317,1,NA
LEMONTREE,BUY,65,3000,149.85,2024-05-23 00:25:01.370001,318,10,NA
MHRIL,BUY,180,1500,403.5,2024-05-23 00:28:24.41323,319,10,NA
JUNIPER,BUY,365,800,442,2024-05-23 00:33:01.373852,320,10,NA
SAMHI,BUY,135,1600,203.45,2024-05-23 00:36:19.156486,321,1,NA
EIHOTEL,BUY,185,1200,479.9,2024-05-23 00:39:49.828909,322,2,NA
RBA,BUY,85,2400,103.4,2024-05-23 00:44:04.185001,323,10,NA
DEVYANI,BUY,115,2000,152.8,2024-05-23 00:47:26.220748,324,1,NA
JUBLFOOD,BUY,360,700,478.55,2024-05-23 00:53:06.473975,325,2,NA
TTML,BUY,50,5000,76.8,2024-05-23 12:17:25.377415,359,10,NA
HFCL,BUY,55,4000,102.5,2024-05-23 12:23:45.359035,360,1,NA
RAILTEL,BUY,170,1500,429,2024-05-23 12:29:32.644245,361,10,NA
OPTIEMUS,BUY,140,1200,275.95,2024-05-23 12:39:29.333392,362,10,NA
ITI,BUY,120,2000,317.8,2024-05-23 12:44:09.162985,363,10,NA
STLTECH,BUY,100,2000,130.2,2024-05-23 12:56:28.622785,364,2,NA
BAJAJHIND,BUY,14,12000,32.55,2024-05-24 11:37:57.411898,366,1,NA
RENUKA,BUY,20,10000,41.95,2024-05-24 11:56:27.250569,367,1,NA
TRIVENI,BUY,175,1500,347.55,2024-05-24 12:06:54.667564,369,1,NA
BALRAMCHIN,BUY,180,1500,377.8,2024-05-24 12:09:49.304324,370,1,NA
HONASA,BUY,260,1000,426.5,2024-05-24 12:17:25.064907,371,10,NA
BAJAJCON,BUY,120,1000,243.1,2024-05-24 12:20:49.004424,372,1,NA
BIKAJI,BUY,325,1000,537,2024-05-24 12:25:26.902054,373,1,NA
UTIAMC,BUY,650,500,925.9,2024-05-27 00:22:13.777694,374,10,NA
INFIBEAM,BUY,15,10000,31.65,2024-05-27 00:31:02.146564,375,1,NA
PAYTM,BUY,275,500,341,2024-05-27 00:34:51.106711,376,1,NA
MUTHOOTMF,BUY,180,1200,224,2024-05-27 00:38:27.592514,377,10,NA
FUSION,BUY,325,600,460.5,2024-05-27 00:42:00.154917,378,10,NA
IFCI,BUY,15,10000,60.05,2024-05-27 00:44:10.369434,379,10,NA
HUDCO,BUY,70,2400,256.95,2024-05-27 00:46:27.656098,380,10,NA
IDFC,BUY,50,4000,114.8,2024-05-27 00:48:20.906923,381,10,NA
CHOICEIN,BUY,150,1200,344,2024-05-27 00:52:11.963382,382,10,NA
EDELWEISS,BUY,35,5000,81.4,2024-05-27 00:56:34.165326,383,1,NA
UJJIVANSFB,BUY,24,10000,52.9,2024-05-27 01:01:12.993993,384,10,NA
ESAFSFB,BUY,45,2800,54.5,2024-05-27 01:14:05.653673,386,10,NA
EQUITASBNK,BUY,50,3000,95.6,2024-05-27 01:16:58.350333,388,10,NA
IIFLSEC,BUY,60,3000,196.1,2024-05-27 01:19:14.399728,389,2,NA
IBULHSGFIN,BUY,85,2400,165.45,2024-05-27 01:21:57.759878,390,2,NA
APTUS,BUY,225,1000,308,2024-05-27 01:24:39.50858,391,2,NA
UCOBANK,BUY,28,7000,56.85,2024-05-27 01:26:52.504307,392,10,NA
CENTRALBK,BUY,24,7000,65.75,2024-05-27 01:28:28.13037,393,10,NA
MAHABANK,BUY,28,7000,68.2,2024-05-27 01:30:19.548933,394,10,NA
DCBBANK,BUY,80,2000,129.3,2024-05-27 01:49:07.441018,398,10,NA
BANDHANBNK,BUY,160,1200,185.6,2024-05-27 01:52:51.677509,399,10,NA
KTKBANK,BUY,125,1200,221.1,2024-05-27 01:55:47.622737,400,10,NA
RBLBANK,BUY,120,1200,254.95,2024-05-27 01:57:27.099158,401,10,NA
SOUTHBANK,BUY,12.5,10000,27.65,2024-05-27 01:59:44.891097,402,1,NA
